TEMP,pvdd,Cqload,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,delay_nodea
46.31943036830701,0.6902927097974763,3.633044329246219,1.7582347127912106e-08,1.2398963429639195e-07,9.517766365638646e-10,9.378672343722299e-10,9.164546531710367e-10,7.205124673773324e-10,5.052039464925373e-09,7.002939760380365e+18,1.063679476845973e-09,9.84656163015813e-10,1.0542107908674575e-09,7.123795191209738e-10,4.943471022428832e-09,5.635858869530075e+18,1.4050189999999999e-11
14.319261619886774,0.6596748589007647,0.8892947610171952,1.783142927714782e-08,1.2375147746242315e-07,9.232899826383787e-10,9.713226078785623e-10,9.432523043663135e-10,7.159650482635535e-10,5.09647037335122e-09,6.915038504015573e+18,9.957533355181967e-10,9.398349465842912e-10,9.773937786680754e-10,6.900515017623053e-10,5.052034936137911e-09,5.61622895448251e+18,5.9349575e-12
106.23708058989943,0.7352722229680524,2.474883222926393,1.7186978876105576e-08,1.293861274273072e-07,9.469974194050427e-10,9.381570382960915e-10,8.669915849158251e-10,7.148940837210347e-10,5.0366218874487494e-09,7.324053047992871e+18,9.86393446907883e-10,9.956574116632922e-10,1.0320583122396115e-09,6.96301824987459e-10,4.973278574229892e-09,5.686772004902552e+18,8.126132999999999e-12
78.64052841711373,0.7456601284346719,2.2362747819976034,1.7498840578274123e-08,1.3124768308696358e-07,9.731273077015492e-10,9.330706303533855e-10,9.422008923911491e-10,6.900670641558481e-10,5.004917571095469e-09,6.761555627024694e+18,9.907517628498276e-10,1.0004027990481306e-09,1.0164206021458962e-09,7.123487729700655e-10,5.152476499278274e-09,5.836688425858738e+18,7.7525785e-12
97.16663016566308,0.6327884245522324,2.2711784260130203,1.9064271172098564e-08,1.3171130916982358e-07,9.68726178484927e-10,9.703430772662504e-10,9.173020264381775e-10,7.12671005601546e-10,4.7467971120301774e-09,7.327523320098793e+18,9.972908701550824e-10,9.455474952219202e-10,9.649098193435674e-10,7.108875368163577e-10,5.081418266281387e-09,5.303671529239476e+18,1.5145915e-11
89.82506769226336,0.6936964342528218,0.6172031320788172,1.6925212355684046e-08,1.290697143819881e-07,9.570735518388874e-10,9.715632336842296e-10,9.892549369056432e-10,6.644891140404344e-10,4.6660832108313845e-09,7.191892714796341e+18,1.0126031065878322e-09,1.076438856972012e-09,1.004178348777506e-09,6.845285972302002e-10,4.851348110973339e-09,5.45922269166706e+18,3.6186945000000004e-12
-31.238427342955447,0.6988964856287531,2.8580990637721726,1.8802483715721523e-08,1.233195576967627e-07,8.866010893260855e-10,9.942273453142023e-10,9.293420634009779e-10,6.693916289375782e-10,4.9003470113540935e-09,7.052479917612242e+18,9.948748524435852e-10,9.950354661637086e-10,1.0116614507557786e-09,6.965945941124006e-10,4.8284672205907625e-09,5.299538815814769e+18,1.410686e-11
67.68344178220306,0.6729472264137012,2.4106669356354704,1.831775332764092e-08,1.2535157803746525e-07,9.254603455824667e-10,9.40411732935006e-10,9.422081206565278e-10,6.853363092328058e-10,4.9272859903387805e-09,6.907157731202803e+18,9.868315460368607e-10,1.0176651235933975e-09,9.728418259043488e-10,7.109408787928781e-10,4.9530483401698835e-09,5.232086740439071e+18,1.2297625000000001e-11
-13.67771643692759,0.7017136829620574,2.024443505181928,1.81720016466119e-08,1.30454271020908e-07,9.37061119295529e-10,9.02850113694517e-10,9.320469049705036e-10,6.585582163802848e-10,4.8147947888568626e-09,6.888114723527918e+18,1.0147437415858786e-09,1.0205367385856622e-09,1.0085721202476787e-09,7.117973049916501e-10,5.0392652676506155e-09,5.367269744277072e+18,9.2320175e-12
90.5443353802316,0.6861526375157593,0.9726803349010644,1.8141283660869926e-08,1.2395162564428355e-07,9.681218819925715e-10,9.043518990348648e-10,9.563899700924146e-10,6.764647744609004e-10,5.018178222351013e-09,6.938435868347017e+18,9.80495859086867e-10,1.0211834741607476e-09,9.629385142322991e-10,7.220845621254194e-10,4.8267357755483104e-09,5.71827865073679e+18,6.030961e-12
-46.203612608794494,0.6395944415879555,2.195504185698151,1.8714102732856262e-08,1.2806871550087777e-07,9.510514117944439e-10,8.698815382370571e-10,9.34870791535481e-10,7.125858534543375e-10,4.909220581791461e-09,7.006053973946627e+18,9.913605441536768e-10,1.030496475269604e-09,1.0288705263189862e-09,7.135793954245693e-10,5.093768482883081e-09,5.401667819872955e+18,1.3573409999999999e-11
57.58646204442496,0.6515803369419484,3.155036960169572,1.895480162008395e-08,1.2610627786312494e-07,9.39074987762001e-10,8.96597424635553e-10,9.584884864037814e-10,6.717427527467326e-10,5.071975466487483e-09,6.866345071813701e+18,1.0120905822849215e-09,1.085606373795643e-09,9.589529191884767e-10,6.904829856284157e-10,4.850770337197172e-09,5.513995624734565e+18,1.8358485e-11
-26.674991593897754,0.7654880037464353,3.462547457341737,1.7956576776740446e-08,1.333671335186827e-07,9.518463385401379e-10,9.63858731125091e-10,9.263702733096573e-10,6.78900366208766e-10,5.203387491852419e-09,6.883859991186626e+18,9.925900751844751e-10,9.643461534639622e-10,1.01883194402675e-09,6.984012346004486e-10,5.203277694982942e-09,5.381552066055639e+18,1.1213775e-11
