TEMP,pvdd,Cqload,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,delay_nodea,delay_nodeb
46.31943036830701,0.8412076077468839,3.633044329246219,2.4455885452125657e-08,2.2999078378163331e-07,6.934984949881139e-10,6.402666832724926e-10,6.502830798651801e-10,4.0371640611024305e-10,7.4132053000343785e-09,1.231191123478698e+19,6.319509196036809e-10,6.324261856967456e-10,6.647074748497221e-10,4.0043722995094135e-10,7.014268466469464e-09,4.308701319171959e+18,1.595199e-11,1.4984514999999998e-11
14.319261619886774,0.8129506449592276,0.8892947610171952,2.3602000701825085e-08,2.2733092461111548e-07,6.478514109883808e-10,6.683070781145401e-10,6.200572480311668e-10,3.8633428044780135e-10,7.377951942371441e-09,1.1406552641858734e+19,6.702478230426301e-10,6.880535378281415e-10,6.791394988625617e-10,4.171137764026467e-10,7.436170143306252e-09,4.421656309318949e+18,8.7820805e-12,7.959602e-12
106.23708058989943,0.8465881342305956,2.474883222926393,2.436240099477874e-08,2.55099572745505e-07,6.348741491833954e-10,6.867566949556811e-10,6.700813448968595e-10,3.7405567346677613e-10,7.4026130608886715e-09,1.1853727028610812e+19,6.902380637615872e-10,6.449542466821651e-10,6.349354244962514e-10,4.0728798723663606e-10,7.217789069085879e-09,4.735808508311899e+18,1.2336155e-11,1.14136e-11
78.64052841711373,0.8235846688820735,2.2362747819976034,2.3727948406991002e-08,2.507507841806735e-07,6.49845768787805e-10,6.315903507492571e-10,6.384048433650154e-10,4.0853070056910124e-10,6.807639249491543e-09,1.2406860392856295e+19,6.892516531977827e-10,6.648426355138678e-10,6.399896998342952e-10,3.9971836303227975e-10,7.096252679146859e-09,4.361289370323797e+18,1.1474855e-11,1.061148e-11
97.16663016566308,0.8079374203753317,2.2711784260130203,2.594995720757832e-08,2.1972398491105777e-07,6.43565682710424e-10,6.49704100911705e-10,6.785425334935793e-10,4.074295157332118e-10,7.1978851359863825e-09,1.281440791279379e+19,6.471337682822305e-10,6.6088916084459e-10,6.537980399919511e-10,3.9219113589767e-10,7.176330079946861e-09,4.524781860167565e+18,1.5358730000000003e-11,1.4178324999999999e-11
89.82506769226336,0.7271569481208647,0.6172031320788172,2.4830979762753423e-08,2.431734854290337e-07,6.698290949147534e-10,6.468368926071116e-10,6.444325139940867e-10,3.9305418294370766e-10,7.603031409676126e-09,1.2175951336439816e+19,6.467303607576975e-10,6.63310410919902e-10,7.062989697450451e-10,3.9889731423016727e-10,7.330130822296747e-09,4.367330939193751e+18,1.0134612e-11,9.056772e-12
-31.238427342955447,0.8741954180784918,2.8580990637721726,2.285655230711111e-08,2.2813099719151193e-07,6.63732038403701e-10,6.434459073667726e-10,6.620427829505826e-10,3.9633549918292636e-10,7.507919021948529e-09,1.2264918931050396e+19,7.139742641839547e-10,6.550059599978086e-10,6.773528565829024e-10,4.006247784502012e-10,6.97612370603723e-09,4.338429877300812e+18,1.1641444999999999e-11,1.092463e-11
67.68344178220306,0.8573146021530295,2.4106669356354704,2.308305642664202e-08,2.3736149643476362e-07,6.249880319143017e-10,6.832101748392497e-10,6.288859911891085e-10,3.908923517780714e-10,7.215626353670042e-09,1.2171643234910394e+19,6.331297627837206e-10,6.678641301628016e-10,6.885065565093371e-10,4.41565948409172e-10,7.063950456963255e-09,4.4122952991611904e+18,1.0886105e-11,1.0139533999999999e-11
-13.67771643692759,0.8431906810914558,2.024443505181928,2.2806319960826244e-08,2.2675949571186676e-07,6.886243817908638e-10,6.243430144625884e-10,6.487970985311513e-10,4.0599933774736504e-10,7.256296650138243e-09,1.2297932239789662e+19,6.706985430599738e-10,6.443564662564026e-10,6.522829423068835e-10,3.7075264711912577e-10,7.277389410960089e-09,4.489929347045809e+18,1.01459915e-11,9.4265185e-12
90.5443353802316,0.848832641360999,0.9726803349010644,2.210948160067724e-08,2.2264404053343864e-07,6.895616357617096e-10,6.480996941217753e-10,6.61562979775326e-10,4.079968583909602e-10,7.042502051966534e-09,1.2254493223217834e+19,7.385845597538148e-10,6.719165308306585e-10,6.725618394564612e-10,4.048939829361859e-10,7.476156479742744e-09,4.520483190497706e+18,7.2080479999999994e-12,6.6103965e-12
-46.203612608794494,0.776507859638204,2.195504185698151,2.4263624836773625e-08,2.2662002996344688e-07,6.698650959230936e-10,6.512965118145634e-10,6.703169006896345e-10,3.8259854223413104e-10,7.74114159138472e-09,1.234595040415996e+19,6.651207845154062e-10,6.408404128055746e-10,6.759550415488668e-10,3.8331774927286966e-10,7.115808908333963e-09,4.218942899509211e+18,1.3136715e-11,1.2150610000000001e-11
57.58646204442496,0.844847826448923,3.155036960169572,2.247534933724929e-08,2.360441984380316e-07,6.28151207515877e-10,6.897521151373964e-10,5.978905762027877e-10,4.0359474890152236e-10,6.713611461709363e-09,1.2095155054154967e+19,6.757764065028293e-10,6.803324713095079e-10,6.82750442120474e-10,3.724893127323181e-10,6.875237143222753e-09,4.1149763061745546e+18,1.1790705e-11,1.110373e-11
-26.674991593897754,0.7853284368391568,3.462547457341737,2.4764626801675743e-08,2.325066698605996e-07,6.657935709788039e-10,6.337190290642665e-10,6.82188188953029e-10,4.1557064244268327e-10,7.160628841253112e-09,1.2966001400098302e+19,6.795277268778212e-10,6.526601448435222e-10,6.955463191064942e-10,4.0384982384847613e-10,7.256869979791241e-09,4.279585137028508e+18,1.672592e-11,1.5659075e-11
49.78119942979028,0.7276180087829599,0.1931641072651303,2.3708418140196606e-08,2.3456378459566106e-07,6.658453656811496e-10,6.815627654420052e-10,6.476401360288575e-10,4.0572747535876284e-10,7.80650476038805e-09,1.1871335027704732e+19,6.64421482382904e-10,6.449280465713394e-10,6.558176711119554e-10,4.2193338996980084e-10,7.1993534097827274e-09,4.5607621765347727e+18,7.880936e-12,6.994197e-12
-7.773981906306403,0.8708038687079388,4.029419408927748,2.4650396578465286e-08,2.360141896627142e-07,6.625259095711637e-10,6.727831562133555e-10,6.422539321639961e-10,3.84592128624918e-10,7.103141557340204e-09,1.1761604346083418e+19,6.934897532930303e-10,6.557222136109753e-10,6.960866559356865e-10,4.089014635701118e-10,7.153601387169932e-09,4.3710629753106847e+18,1.6526379999999998e-11,1.5559435e-11
