Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0.0,1.0,0.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,2.6749479835723137e-09
0.0,1.0,1.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,2.231518513924575e-08
1.0,0.0,0.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,3.018541410828771e-09
1.0,0.0,1.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,9.883142198658438e-09
1.0,1.0,0.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,8.297622161378522e-09
1.0,1.0,1.0,14.319261619886774,1.0818932309610494,4.804966124317526e-08,2.5617230828135804e-07,1.181889164381709e-09,1.2580978820898171e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199456e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.4421670186558081e-08,2.5140090656730803e+18,1.3926479675460392e-07
0.0,0.0,0.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,8.704395158148274e-09
0.0,0.0,1.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,1.647713275379529e-08
0.0,1.0,0.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,1.4991299443929826e-08
0.0,1.0,1.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,8.012557502805403e-08
1.0,0.0,0.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,1.5588845599725752e-08
1.0,0.0,1.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,5.25984354206663e-08
