Vin_A,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power,Estimate_leakage
0,46.31943036830701,0.8412076077468839,2.4455885452125657e-08,2.299907837816333e-07,6.934984949881139e-10,6.402666832724926e-10,6.5028307986518e-10,4.037164061102431e-10,7.413205300034377e-09,1.231191123478698e+19,6.319509196036809e-10,6.324261856967455e-10,6.647074748497221e-10,4.0043722995094135e-10,7.014268466469464e-09,4.308701319171959e+18,1.626727983216e-06,1.4948311197120053e-06
1,46.31943036830701,0.8412076077468839,2.4455885452125657e-08,2.299907837816333e-07,6.934984949881139e-10,6.402666832724926e-10,6.5028307986518e-10,4.037164061102431e-10,7.413205300034377e-09,1.231191123478698e+19,6.319509196036809e-10,6.324261856967455e-10,6.647074748497221e-10,4.0043722995094135e-10,7.014268466469464e-09,4.308701319171959e+18,2.099495906492e-06,1.9292665086683183e-06
0,14.319261619886774,0.8129506449592276,2.3602000701825085e-08,2.273309246111155e-07,6.478514109883807e-10,6.683070781145401e-10,6.200572480311667e-10,3.8633428044780135e-10,7.377951942371441e-09,1.1406552641858734e+19,6.702478230426301e-10,6.880535378281414e-10,6.791394988625617e-10,4.171137764026467e-10,7.436170143306252e-09,4.421656309318949e+18,1.301515538346e-06,1.1959872514530814e-06
1,14.319261619886774,0.8129506449592276,2.3602000701825085e-08,2.273309246111155e-07,6.478514109883807e-10,6.683070781145401e-10,6.200572480311667e-10,3.8633428044780135e-10,7.377951942371441e-09,1.1406552641858734e+19,6.702478230426301e-10,6.880535378281414e-10,6.791394988625617e-10,4.171137764026467e-10,7.436170143306252e-09,4.421656309318949e+18,1.6852428517062e-06,1.5486015394056941e-06
0,106.23708058989943,0.8465881342305956,2.4362400994778742e-08,2.55099572745505e-07,6.348741491833954e-10,6.867566949556811e-10,6.700813448968594e-10,3.740556734667761e-10,7.40261306088867e-09,1.1853727028610812e+19,6.902380637615871e-10,6.449542466821651e-10,6.349354244962513e-10,4.0728798723663606e-10,7.217789069085879e-09,4.735808508311899e+18,1.964027699295e-06,1.8047822101629686e-06
0,-51.75673315188811,0.8345496332593023,2.3910460372943327e-08,2.2926559659862918e-07,6.829860722349756e-10,6.254537343190722e-10,6.230760332104685e-10,4.1716093884035827e-10,7.1491142141684715e-09,1.1202331213722196e+19,6.220377832531989e-10,6.573118885537799e-10,6.754781903835114e-10,4.00573021976568e-10,7.146098418017758e-09,4.386814266700096e+18,1.4479145479699998e-06,1.3305160711075607e-06
0,68.66193888901316,0.8796770607503385,2.4087841614038644e-08,2.297222007268857e-07,6.365541933180166e-10,6.910030372053465e-10,6.608273833350385e-10,3.787284440713613e-10,7.127834038044329e-09,1.1545314177253032e+19,6.595145084245433e-10,6.62379055267843e-10,6.795053895601944e-10,3.964482459350808e-10,7.344434008599527e-09,4.485851145612956e+18,1.990594933184e-06,1.8291953440069188e-06
1,72.32222083166478,0.8472388573034673,2.4553884922255163e-08,2.3114063061848027e-07,6.744265703773512e-10,6.718512472675446e-10,6.636187801697971e-10,3.922494653229835e-10,7.105410810313616e-09,1.2140633804990867e+19,6.523632980657213e-10,6.124171688264576e-10,6.796964461571489e-10,4.2088446885640704e-10,7.687399072787041e-09,4.249740887794752e+18,2.2510238195961e-06,2.0685083747639787e-06
0,89.53172149489635,0.7259288154236898,2.353035688375783e-08,2.2974140179758421e-07,6.298338642099893e-10,6.749002338394481e-10,6.648858258363401e-10,4.0047332544773114e-10,7.483144504112905e-09,1.1825464982115883e+19,6.436186499519663e-10,6.714881110069642e-10,6.58037350483014e-10,4.03257394116504e-10,7.236332752483914e-09,4.434240533271115e+18,8.5586193092e-07,7.864677203048626e-07
1,70.48661502516482,0.779361166806413,2.2794391503055552e-08,2.247862838984279e-07,6.827733371432536e-10,6.390015748133693e-10,6.443916939884423e-10,3.744268185407191e-10,7.119591260258616e-09,1.1402427548573385e+19,6.775473540076606e-10,6.700022673354903e-10,6.067131582502235e-10,4.1236289824236776e-10,7.688999357273577e-09,4.242196843097492e+18,1.38531206879e-06,1.2729894686178363e-06
1,55.17176663571968,0.851758165877697,2.295494405332228e-08,2.1172951914922093e-07,6.470494416240112e-10,6.488532150259851e-10,6.62107531472937e-10,4.01278307830354e-10,7.185953606754739e-09,1.1946427890252282e+19,6.580232564049247e-10,6.467621036081486e-10,6.962401338430631e-10,4.049002775309575e-10,7.174435143662389e-09,4.312869324772772e+18,1.905509449239e-06,1.7510086830844952e-06
0,19.68505844720225,0.8331151465183497,2.3015760048878472e-08,2.2228181016633573e-07,6.767717641548226e-10,6.337048422224864e-10,6.860733221205443e-10,4.1339812976506456e-10,7.516701153374432e-09,1.2359198689686686e+19,6.832936274027466e-10,6.843080330464971e-10,7.193515074757955e-10,4.2285607717667917e-10,6.911411078715911e-09,4.617575135917253e+18,1.380881505808e-06,1.2689181404722192e-06
