Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
1.0,0.0,0.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,5.715806017475788e-07
1.0,0.0,1.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,1.2890591845440576e-06
1.0,1.0,0.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,6.781963717090893e-07
1.0,1.0,1.0,14.319261619886774,0.930672926868056,3.263839950403337e-08,2.463321712422874e-07,7.535570668310225e-10,7.519502086471353e-10,7.751633515893412e-10,4.634953947986469e-10,9.764681056975414e-09,8.748088632370799e+18,7.465718509087245e-10,7.29997907862509e-10,7.627748630524338e-10,4.851197798561673e-10,9.877952267177009e-09,3.552707936230963e+18,4.188123991938669e-06
0.0,0.0,0.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,1.3383830421574834e-06
0.0,0.0,1.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,1.9668457725903824e-06
0.0,1.0,0.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,1.578784743330886e-06
0.0,1.0,1.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,4.2116640322475266e-06
1.0,0.0,0.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,1.4897077415556158e-06
1.0,0.0,1.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,3.077382576660952e-06
1.0,1.0,0.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,2.357448408368343e-06
1.0,1.0,1.0,106.23708058989943,0.9374253572464708,3.3207699790734593e-08,2.436898565563276e-07,7.231090308615013e-10,6.963570187298937e-10,7.329372363845912e-10,4.794392673116393e-10,9.849953758790073e-09,8.505102189203504e+18,7.469930655697944e-10,7.519751963023522e-10,8.113806648368097e-10,5.098286103225316e-10,9.821524268801307e-09,3.344527881791802e+18,8.779225762583021e-06
0.0,0.0,0.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,7.835240928918409e-07
0.0,0.0,1.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,1.3362641448160097e-06
0.0,1.0,0.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,9.50966624513375e-07
0.0,1.0,1.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,2.790865540925205e-06
1.0,0.0,0.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,8.642768840830462e-07
1.0,0.0,1.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,1.9235480231871186e-06
1.0,1.0,0.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,1.2338298547136473e-06
1.0,1.0,1.0,78.64052841711373,0.9338897600861594,3.41576360395287e-08,2.4059579827539924e-07,7.310956302627373e-10,7.129578054783864e-10,7.411938693383692e-10,4.946941760982657e-10,1.0320905315325989e-08,9.108013008591172e+18,7.69271760647796e-10,7.559564065462431e-10,8.041528434880393e-10,4.919032133553391e-10,1.0071572636597223e-08,3.4194267483446487e+18,5.565518875970862e-06
0.0,0.0,0.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,9.4763088298534e-07
0.0,0.0,1.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,1.5383188874954221e-06
0.0,1.0,0.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,1.1478803817879835e-06
0.0,1.0,1.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,3.174034261917298e-06
1.0,0.0,0.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,1.0597252416643256e-06
1.0,0.0,1.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,2.2598674214656005e-06
1.0,1.0,0.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,1.5570052680274567e-06
